user,community_id
LindaLeeJones11,0
michaelpuleo,0
Hakimyasin,0
ImNoAuthor,0
thetritiptruck,0
Tj1701a,0
HopeP44,0
kpisniki,0
omgstater,0
davidharsanyi,0
hulu,0
SpeakerRyan:,0
mellowsprytny,0
GottaLaff,0
asw79v,0
MarkBecerraSr,0
seanhannity',0
DanRolle,0
shailenewoodley,0
twitter:,0
cresus1ier,0
ffweekend,0
billmaher,0
anastef62,0
Telford_Russian,0
SteveCasull,0
llucienpillot,0
RNNetwork1,0
brtex100,0
peddoc63:,0
drvandanashiva's,0
RepMarkMeadows,0
SurvivingDJT,0
kallllisti,0
"tim_cook,",0
LynneMPatriot,0
Logan_Church1,0
LidjYefdi,0
CherGreening,0
NSYNC,0
THETXEMBASSY,0
theJagmeetSingh.,0
Barbie,0
masspolitica,0
vine,0
Charlie2749,0
baalsulam,0
VoteGreen2:,0
liberals,0
MaggyHull,0
Citizens_United,0
"usnews""",0
"NBCNews,",0
IndridCold67,0
mattjonesrb,0
BarbaraBoxer,0
"SpeakerRyan,",0
usacit1970,0
poohsbrana,0
Tommy10bears,0
LukeMurray2,0
morningmika,0
SandraSmithFox,0
carlsmythe,0
Salon,0
jojoh888,0
"CollecSante,",0
ArtemisMedSoc,0
WiressTribute17,0
MPSNewham,0
VetPatriot70,0
GovMikeHuckabee,0
2016Republic,0
Suthen_boy,0
katnandu,0
wgmackie,0
KerryWashington,0
journalismnews,0
Jsurfer0730,0
PaloAltoAntifa,0
oreillyfactor's,0
JKBoyer77,0
Baixerasvlc,0
daniel_ernst,0
TeamCavuto,0
"Israelvideos""",0
telikonol,0
abbydphillip,0
EMILROBIN18,0
in_the_county,0
MarkAlmost:,0
Wally_Callahan:,0
GabbyInCa,0
YevetteEdwards,0
Tombx7M,0
ann_kromer,0
ClutchScience,0
SylviaCoppola,0
onahunttoday,0
freedomwatchweb,0
DevilLucifer29,0
winwarchr,0
orphan1111,0
GreenPartyWA,0
SarahChampionMP,0
Damo_2012,0
RenewUSTweets,0
GovGaryJohnson.,0
stony599,0
brockm,0
votelavenia,0
DrOz,0
POLITICO,0
walaa_3ssaf,0
LevinTV's,0
StephensWSJ,0
algore,0
MeetThePress,0
CRS82,0
billclinton.,0
Die_Gruenen,0
abotammem403,0
WhereIsPaulJr,0
jnickpitts,0
Juliet777777:,0
specialreports,0
PaveDarker,0
LauraR77,0
WayneABryant,0
AlabamaFTBL,0
JaguarUSA,0
pierrejovanovic,0
Commoncorediva:,0
Hersheys,0
POTUS?,0
40Love6060,0
714_1965,0
chongbeng,0
project_veritas,0
HarryIsaacJr,0
AnahaqImtruth,0
RichardAustin77,0
notbuyingthat54,0
mommom_dayton,0
MrEdTrain,0
ravens304,0
mkues65,0
"SPIEGELONLINE""",0
simple0servant,0
AmericanMetal1,0
UPI,0
ladygaga's,0
USAdoption,0
thecanarysays,0
davidgregory,0
MailOnline.,0
RepKevinBrady,0
smileygirl19681,0
MyieshaTaylorMD,0
NESN,0
Raz581,0
need2knowu,0
bobjackk,0
PoliceMv,0
dgardner,0
BLMNational,0
RokedvMagen,0
jadedzPF,0
TheOHrevolution!,0
megwiehe,0
michigannews247,0
jack..,0
ZilOliv,0
Whichsideareuon,0
jxhalloy,0
lgmaterna,0
WaBATs_,0
nathanielbumpo,0
jorgenseptember,0
dforler,0
brookebay21,0
funder:,0
pridepickle,0
nia4_trump,0
NancyLRogers1,0
MediaBuzzFNC,0
julianassange,0
1Marchella,0
foxandfriends',0
kazueger1,0
We_Are_CruzCrew:,0
KCarslin,0
_LizWillis,0
theadvocateno,0
mitchellreports,0
ShoxMagic,0
PatrickMurphyFL's,0
susskindbatzi,0
Republic_Nauru,0
southsalem,0
GeorgWebb,0
jennanjack,0
MarjorieETurner,0
DennisMurphy15,0
EYE_KILL_IT,0
GenXRise,0
PokerDame,0
kierobar:,0
JMfreespeech,0
ydc226,0
tessyto,0
Marc_Smash,0
RepCummings,0
MSNBC',0
hillaryclinton.,0
MilkLife,0
STWuk,0
StinsonHunter,0
Avalanche,0
DewsNewz,0
Gj76171716,0
lvphillies08,0
SECole_44,0
KellyannePolls?,0
BasicBooks,0
powerlineUS,0
king5seattle,0
JustMe3316,0
LPNational',0
Wally_Callahan,0
Shareaholic,0
treehugger1605,0
MarkoSket,0
lyndell_evans,0
LastGreatStand,0
ETrumpgirl,0
NYCAntifa,0
debsellsslc,0
manuelvalls!,0
aniYadah,0
GrafHeysoos,0
reardongalt,0
0101limey0101,0
basket,0
nick_clegg,0
SalmanRushdie,0
AliBrownleetri,0
RealBenCarson,0
FirasAbdullah_,0
RealVinnieJames,0
terematthews,0
MomWifeGrammy,0
TIMEMagUSA,0
GregPettys,0
nzayed07',0
indiaknight,0
MaddowBlog,0
GenFlynn.,0
Kaepernick7,0
Sheepdogleader,0
"TWCBryan,",0
Manly_Chicken,0
WPJohnWagner,0
dandb200,0
ForiaPleasure,0
ajplus,0
scottienhughes,0
Grubhub,0
jimmy_dore,0
SeidenLocal10,0
gayright,0
polishprincessh:,0
tommyhubb,0
a_meluzzi,0
LucyTreadwell01,0
nbc4i,0
RacheleZuena,0
Mr_Marauder,0
shim_rational,0
KirkHarris,0
mrmik1234,0
genflynn,0
CalPERS,0
netflix,0
atlcav,0
hale_razor,0
"AmericaNewsroom,",0
WWE.,0
ongehass,0
defundPP,0
DailyMailCeleb,0
SlammaJamma00,0
JiggyJaguar,0
michaelgusman6,0
JLMelenchon,0
BeeGunterxx:,0
donnabrazile?,0
MarloRaynolds,0
1VoiceMatters,0
WhiteHouse',0
eddiern,0
RNRPennsylvania,0
JamesTHarris,0
whatzmatteryou,0
Mr_Pinko,0
TheDemocrats',0
ICLV,0
Whitehouse,0
TheSwampMedia,0
OZRKIndivisible,0
LongIslandPress,0
andrewscheer,0
RamCNN,0
