language,tweet_count
English,187810
Russian,37864
Italian,5986
Ukrainian,2544
United States,1604
German,1259
Serbian,600
Uzbek,580
Arabic,569
Bulgarian,546
French,529
Unknown,450
Spanish,396
Macedonian,369
Italy,229
Dutch,168
Romanian,132
Norwegian,126
Vietnamese,105
Farsi (Persian),105
Estonian,96
Catalan,76
Azerbaijan,76
Japanese,74
United Arab Emirates,66
Portuguese,64
Albanian,51
Swedish,50
Croatian,46
Pushto,44
Russian Federation,40
Turkish,35
Finnish,33
LANGUAGE UNDEFINED,33
Icelandic,31
Tagalog (Filipino),27
Polish,25
Latvian,22
Lithuanian,21
Somali,20
Hindi,18
Ukraine,15
Malay,14
Slovak,11
Hungarian,10
Danish,10
Indonesian,10
Kurdish,8
United Kingdom,8
Hebrew,7
Slovenian,7
,7
"is HATE SPEECH.\"",7
Urdu,6
Greek,5
Czech,5
Germany,5
"don't we?  CNN must disavow Ana Navarro im…\"",4
personalize it,3
"Shame\"\" at Trump Tower  But if you listen real carefully you can actually hear Trum…\"",3
Chris is too busy pounding donuts,3
"dickhead!!!\"\"\"",3
because if you do,3
Simplified Chinese,2
Korean,2
пожалуй,2
"преподавал в школе комсостава.'\"",2
"produce G's like sperm/ 'til legs spread like germs\"\"\"",2
"Skyzoo &amp; DJ Revolution)\"\" by Blu &amp; Nottz https://t.co/dUjx2ZOI4g\"",2
Brown or White,2
"rub on ya tits ... and whatnot\"\" #HardKnockLife\"",2
"а ты...  https://t.co/xJVs5KPp64\"",2
scottie,2
"юность и любовь:  https://t.co/335E99TJWJ https://t.co/i6aT6Mtcw1\"",2
уберусь дома,2
"& it will never be stopped until we stop it ourselves.\"\" https://t.co/BJbjwpIOgB\"",2
"Джастине Тимберлейке и многом другом #helloru   https://t.co/e8qe1ostwF https://t.co/ndaLwS9LWS\"",2
"on @HashtagRoundup! https://t.co/yYVYUKCuIv\"",2
"he did a very good job!\"",2
"s…\"",2
"can YOU craft a compelling reason to vote for Trump?\"\"  \"\"Sit down",2
insulting,2
000,2
union homes,2
"богатство и процветание.\"",2
GOP Control House,2
Russia Didn't Work! Now Desperate Attempt is Racism,2
"2009\"",2
"Russia\"\" Didn't Work... Yelling \"\"Racism",2
Brown or White,2
"что на этом поле нет ни одной мины\"",2
"and hateful rhetoric of Trump.....we will fight back! https://t.co/rhY2t29bUm\"",2
"why is it sitting on a bed of lettuce?\"\"  #WriteAPanel\"",2
"it isn't going…\"",2
"and \"\"LOL\"\"\"",2
"you're not my father.\"\"\"",2
"later.\"",2
"blue collar Americans.\"\" #Hannity https://t.co/HCJoZJcSkV\"",1
"& the sugarguys SOCIALISE THE COST 2Health https://t.co/rNGNwMsyOc\"",1
"but many DNI analysts at NSA did it. Only needed to deny it was the \"\"intent.\"\" https://t.co/WgqkbfNkHI\"",1
"crimes of which he is guilty.'\"",1
"Obama plays golf!! #LouisianaFlood  #NeverHillary   https://t.co/zTckGepBs6 https://t.co/dxC04usnAy\"",1
"on investigators he sent to Hawaii looking into Obama's birth cert.#NeverTrump\"",1
"This is crime! @realDonaldTrump'\"",1
"because the truth was shown'\"",1
"EPIC FAIL\"",1
"donc l’avenir de nos enfants.\"\" #ConventionMLP https://t.co/e6dJFTdEg8\"",1
"2020\"\"   https://t.co/QH3OtNj7zj  #Recount2016 https://t.co/nS76Xl164R\"",1
Ireland,1
bit by bit,1
"means barely being able to stand upright and speak coherently whilst addressing a crisis https://t.co/A3uBX2pHnb\"",1
"told me in person #Obama born in #kenya.\"\" --@jimasher   Now what",1
Iran,1
"mostly because cuts in foreign aid programs.\"\"\"",1
"he's right.\"",1
"In your name!\"\"  #Marine2017 #LeGrandDébat #AuNomDuPeuple https://t.co/hGoNLbyQMS\"",1
"is that I'm a fair judge.\"\" https://t.co/F4EpfATnX3\"",1
and pray,1
"my dear....\"\"  #NeverHillary  #DemolishedByCorruption https://t.co/QN84NZTiUv\"",1
