tweet_date,tweet_count
2014-11-27,3
2014-11-28,69
2014-12-01,10
2014-12-04,8
2014-12-05,5
2014-12-06,8
2014-12-08,5
2014-12-09,21
2014-12-12,4
2014-12-13,8
2014-12-16,2
2014-12-17,1
2014-12-23,1
2014-12-24,1
2015-01-06,21
2015-01-07,36
2015-01-09,27
2015-01-11,69
2015-01-12,44
2015-01-13,2
2015-01-14,5
2015-01-15,14
2015-01-16,30
2015-01-20,202
2015-01-21,6
2015-01-22,4
2015-01-25,28
2015-01-29,150
2015-01-30,9
2015-01-31,3
2015-02-01,6
2015-02-04,2
2015-02-06,4
2015-02-08,183
2015-02-09,88
2015-02-12,2
2015-02-13,5
2015-02-14,9
2015-02-16,113
2015-02-19,9
2015-02-20,114
2015-02-22,16
2015-02-23,6
2015-02-25,10
2015-02-26,6
2015-02-27,5
2015-03-02,3
2015-03-06,5
2015-03-07,5
2015-03-10,73
2015-03-13,201
2015-03-14,19
2015-03-16,229
2015-03-17,93
2015-03-18,252
2015-03-19,86
2015-03-20,9
2015-03-21,3
2015-03-22,12
2015-03-23,11
2015-03-25,1
2015-03-26,10
2015-03-27,3
2015-03-29,3
2015-03-30,12
2015-03-31,15
2015-04-03,1
2015-04-04,1
2015-04-05,5
2015-04-07,17
2015-04-08,3
2015-04-09,2
2015-04-10,7
2015-04-11,18
2015-04-14,2
2015-04-15,1
2015-04-16,8
2015-04-19,44
2015-04-21,24
2015-04-22,41
2015-04-23,20
2015-04-24,18
2015-04-25,23
2015-04-26,24
2015-04-27,30
2015-04-28,13
2015-04-30,38
2015-05-01,1
2015-05-03,34
2015-05-05,1
2015-05-06,9
2015-05-07,27
2015-05-08,19
2015-05-09,11
2015-05-10,39
2015-05-11,11
2015-05-12,40
2015-05-13,42
2015-05-14,15
2015-05-15,10
2015-05-16,41
2015-05-17,31
2015-05-18,41
2015-05-19,12
2015-05-20,16
2015-05-21,38
2015-05-22,7
2015-05-23,26
2015-05-24,8
2015-05-25,306
2015-05-26,41
2015-05-27,27
2015-05-28,30
2015-05-29,121
2015-05-30,56
2015-05-31,22
2015-06-01,180
2015-06-02,582
2015-06-03,947
2015-06-04,906
2015-06-05,935
2015-06-06,761
2015-06-07,666
2015-06-08,863
2015-06-09,878
2015-06-10,917
2015-06-11,929
2015-06-12,301
2015-06-13,186
2015-06-14,90
2015-06-15,115
2015-06-16,135
2015-06-17,143
2015-06-18,115
2015-06-19,31
2015-06-20,41
2015-06-21,35
2015-06-22,72
2015-06-23,54
2015-06-24,40
2015-06-25,56
2015-06-26,76
2015-06-27,81
2015-06-28,21
2015-06-29,60
2015-06-30,131
2015-07-01,58
2015-07-02,35
2015-07-03,530
2015-07-04,382
2015-07-05,33
2015-07-06,18
2015-07-07,59
2015-07-08,37
2015-07-09,36
2015-07-10,36
2015-07-11,96
2015-07-12,16
2015-07-13,72
2015-07-14,33
2015-07-15,141
2015-07-16,233
2015-07-17,187
2015-07-18,154
2015-07-19,184
2015-07-20,181
2015-07-21,1775
2015-07-22,2522
2015-07-23,905
2015-07-24,178
2015-07-25,294
2015-07-26,124
2015-07-27,162
2015-07-28,166
2015-07-29,171
2015-07-30,148
2015-07-31,166
